timestamp,cycle_time,throughput,robot_distance,idle_time,reward,status
1776107539.48875,0.0,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.4943357,0.01,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.4994018,0.01,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5050282,0.02,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5096467,0.02,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.514668,0.03,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5196934,0.03,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5252619,0.04,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5302706,0.04,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.535299,0.05,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5403426,0.05,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5451725,0.06,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.550207,0.06,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5553381,0.07,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5603635,0.07,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.565526,0.08,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.570534,0.08,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5755665,0.09,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5805843,0.09,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5857,0.1,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5907276,0.1,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.5956175,0.11,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.6006489,0.11,0,0.0,0.0,N/A,Moving on Conveyor
1776107539.6057537,0.12,0,0.156,0.0,N/A,Moving on Conveyor
1776107539.6107914,0.12,0,0.298,0.0,N/A,Moving on Conveyor
1776107539.6158497,0.13,0,0.428,0.0,N/A,Moving on Conveyor
1776107539.6211681,0.13,0,0.548,0.0,N/A,Moving on Conveyor
1776107539.6261346,0.14,0,0.659,0.0,N/A,Moving on Conveyor
1776107539.6314316,0.14,0,0.761,0.0,N/A,Moving on Conveyor
1776107539.6364958,0.15,0,0.855,0.0,N/A,Moving on Conveyor
1776107539.6416483,0.15,0,0.941,0.0,N/A,Moving on Conveyor
1776107539.6466694,0.16,0,1.02,0.0,N/A,Moving on Conveyor
1776107539.6517544,0.16,0,1.092,0.0,N/A,Moving on Conveyor
1776107539.6573002,0.17,0,1.157,0.0,N/A,Moving on Conveyor
