timestamp,workpiece_x,status,cycle_time
1774795029.239858,-2.6,Moving on Conveyor,0.0
1774795029.2491198,-2.585,Moving on Conveyor,0.01
1774795029.2534525,-2.57,Moving on Conveyor,0.01
1774795029.2578063,-2.555,Moving on Conveyor,0.02
1774795029.2621107,-2.54,Moving on Conveyor,0.02
1774795029.2664611,-2.525,Moving on Conveyor,0.03
1774795029.2707896,-2.51,Moving on Conveyor,0.03
1774795029.2751093,-2.495,Moving on Conveyor,0.04
1774795029.2794566,-2.48,Moving on Conveyor,0.04
1774795029.2837844,-2.465,Moving on Conveyor,0.04
1774795029.2880838,-2.45,Moving on Conveyor,0.05
1774795029.292428,-2.435,Moving on Conveyor,0.05
1774795029.296725,-2.42,Moving on Conveyor,0.06
1774795029.3010626,-2.405,Moving on Conveyor,0.06
1774795029.3053756,-2.39,Moving on Conveyor,0.07
1774795029.3097024,-2.375,Moving on Conveyor,0.07
1774795029.3140473,-2.36,Moving on Conveyor,0.07
1774795029.3184009,-2.345,Moving on Conveyor,0.08
1774795029.322729,-2.33,Moving on Conveyor,0.08
1774795029.3270502,-2.315,Moving on Conveyor,0.09
1774795029.3314316,-2.3,Assembly,0.09
1774795029.3357546,-2.298,Assembly,0.1
1774795029.3400881,-2.296,Assembly,0.1
1774795029.3444016,-2.294,Assembly,0.1
1774795029.348707,-2.292,Assembly,0.11
1774795029.353027,-2.29,Assembly,0.11
1774795029.3573613,-2.288,Assembly,0.12
1774795029.3616827,-2.286,Assembly,0.12
1774795029.365987,-2.284,Assembly,0.13
1774795029.3702831,-2.282,Assembly,0.13
1774795029.3746216,-2.28,Assembly,0.13
1774795029.3789291,-2.278,Assembly,0.14
1774795029.38324,-2.276,Assembly,0.14
1774795029.3875544,-2.274,Assembly,0.15
1774795029.3919098,-2.272,Assembly,0.15
1774795029.396246,-2.27,Assembly,0.16
1774795029.40057,-2.268,Assembly,0.16
1774795029.4048917,-2.266,Assembly,0.17
1774795029.4092321,-2.264,Assembly,0.17
1774795029.4135542,-2.262,Assembly,0.17
1774795029.4178896,-2.26,Assembly,0.18
1774795029.4221997,-2.258,Assembly,0.18
1774795029.4265473,-2.256,Assembly,0.19
1774795029.430896,-2.254,Assembly,0.19
1774795029.4352741,-2.252,Assembly,0.2
1774795029.439631,-2.25,Assembly,0.2
1774795029.443984,-2.248,Assembly,0.2
